Fullname,Nickname,formationDate,fundation,status
Penarol Atlético Clube,Leão Azul,1947-08-08,1947-08-08,Found
Vilhena Esporte Clube,Lobo do Cerrado,1991-06-03,1991-06-03,Found
Aquidauanense Futebol Clube,Azulão da Princesa,2001-12-10,2001-12-10,Found
Esporte Clube Aracruz,Dragão Vermelho,-,-,Found
-,-,-,-,Found
-,-,-,-,NotFound
Bragantino Clube do Pará,Tubarão do Caeté,1975-03-06,1975-03-06,Found
Cerâmica Atlético Clube,CAC,1950-04-19,1950-04-19,Found
Comercial Atlético Clube,O Bode da Terra dos Carnaubais,1945-04-21,1945-04-21,Found
Cordino Esporte Clube,Heróis de Barra do Corda,2010-03-08,2010-03-08,Found
-,-,-,-,Found
Iporá Esporte Clube,IPEC,2000-01-01,2000-01-01,Found
Sociedade Esportiva Juventude,Poraquê &#39;&#39;,1979-06-14,1979-06-14,Found
Clube Esportivo Lajeadense,Alviazul,1911-04-23,1911-04-23,Found
-,-,-,-,Found
Paragominas Futebol Clube,Jacaré,2012-03-06,2012-03-06,Found
Clube Atlético Patrocinense,Águia,1954-03-19,1954-03-19,Found
Clube Atlético Penapolense,Pantera da Noroeste,1944-11-16,1944-11-16,Found
Paraná Soccer Technical Center,-,1994-08-15,1994-08-15,Found
Red Bull Brasil,RBB,2007-11-19,2007-11-19,Found
-,-,-,-,Found
Sociedade Esportiva River Plate,River do Carmo,1967-08-18,1967-08-18,Found
Serra Talhada Futebol Clube,-,2011-02-25,2011-02-25,Found
Clube Desportivo Sete de Setembro,Tricolor,1994-09-07,1994-09-07,Found
Afogados da Ingazeira Futebol Clube,Coruja do Sertão,2013-12-18,2013-12-18,Found
Clube Esportivo Aimoré,Índio Capilé,1936-03-26,1936-03-26,Found
-,-,-,-,NotFound
Araguaia Atlético Clube,Pantera do Vale,1978-12-01,1978-12-01,Found
Arapongas Esporte Clube,Arapongão,1974-06-06,1974-06-06,Found
Araxá Esporte Clube,Ganso,1958-11-16,1958-11-16,Found
Associação Sportiva Sociedade Unida,Camaleão do Vale,2002-01-10,2002-01-10,Found
Esporte Clube Avenida,Nida,1944-01-06,1944-01-06,Found
Clube Atlético Itapemirim,Galo da Vila,1965-12-05,1965-12-05,Found
-,-,-,-,Found
Audax Rio de Janeiro Esporte Clube,Laranja Meritiense,2005-05-08,2005-05-08,Found
Belo Jardim Futebol Clube,Calango do Agreste,2005-01-18,2005-01-18,Found
Cametá Sport Club,Mapará Elétrico,2007-07-22,2007-07-22,Found
Caucaia Esporte Clube,Tricolor Metropolitano,2004-04-16,2004-04-16,Found
Concórdia Atlético Clube,Galo do Oeste,2005-03-02,2005-03-02,Found
-,-,-,-,NotFound
Estanciano Esporte Clube,Canarinho do Piauitinga,1956-06-14,1956-06-14,Found
Feirense Futebol Clube,-,1997-01-12,1997-01-12,Found
Bosque Formosa Esporte Clube,Forasteiro Atrevido,1978-09-21,1978-09-21,Found
Associação Desportiva Freipaulistano,Galácticos do Sertão,2016-08-29,2016-08-29,Found
-,-,-,-,NotFound
Associação Desportiva Itaboraí,Águia do Leste Fluminense,1976-07-30,1976-07-30,Found
Itaporã Futebol Clube,-,2008-03-05,2008-03-05,Found
-,-,-,-,NotFound
-,-,-,-,Found
-,-,-,-,NotFound
JV Lideral Futebol Clube,Trator do Camaçari,1994-04-30,1994-04-30,Found
-,-,-,-,NotFound
Náuas Esporte Clube,Cacique do Juruá,1923-10-19,1923-10-19,Found
Clube Esportivo Naviraiense,Jacaré do Cone Sul,2005-11-25,2005-11-25,Found
Nova Mutum Esporte Clube,Azulão da Massa,-,1988,Found
Novo Futebol Clube,-,2010-10-11,2010-10-11,Found
Porto Velho Esporte Clube,Locomotiva,2018-04-23,2018-04-23,Found
Prudentópolis Futebol Clube,Tigrão,2007-09-01,2007-09-01,Found
Real Noroeste Capixaba Futebol Clube,Merengue Capixaba,2008-04-09,2008-04-09,Found
Retrô Futebol Clube Brasil,Soberano Recifense,2016-02-15,2016-02-15,Found
Rio Branco Futebol Clube,Tricolor Serrano,1945-06-29,1945-06-29,Found
Rondoniense Social Clube,Periquito da Zona Leste,-,2007,Found
-,-,-,-,NotFound
-,-,-,-,NotFound
Santana Esporte Clube,Canário Milionário,1955-09-25,1955-09-25,Found
São Bernardo Futebol Clube Ltda.,Bernô,2004-12-20,,Found
Grêmio Recreativo Serrano,Lobo da Serra,1989-09-20,1989-09-20,Found
Sociedade Desportiva Sparta,Tricolor do Norte,2006-02-25,2006-02-25,Found
Tocantins Esporte Clube,Tecão Maravilha,1975-12-02,1975-12-02,Found
Tocantins Futebol Clube,Tigrão da Serra,1999-10-10,1999-10-10,Found
Tupynambás Futebol Clube,Baeta,1911-08-15,1911-08-15,Found
Vilhenense Esportivo Clube,Leão de Vilhena,2017-10-10,2017-10-10,Found
