Fullname,Nickname,formationDate,fundation,status
Esporte Clube Santo André,Ramalhão,1967-09-18,1967-09-18,Found
-,-,-,-,NotFound
Campo Grande Atlético Clube,Galo da Zona Oeste,-,"Juny 13, 1940",Found
-,-,-,-,Found
-,-,-,-,Found
São José Esporte Clube,Águia do Vale,1933-08-13,1933-08-13,Found
Itabuna Esporte Clube,Dragão do Sul,1967-05-23,1967-05-23,Found
Comercial Futebol Clube,Leão do Norte,1911-10-10,1911-10-10,Found
Galícia Esporte Clube,&#39;&#39;Azulino,1933-01-01,1933-01-01,Found
Centro Sportivo Capelense,Tri-Campeão,1946-04-04,1946-04-04,Found
-,-,-,-,SyxtaxError
Esporte Clube XV de Novembro,Galo da Comarca,1924-11-15,1924-11-15,Found
-,-,-,-,NotFound
-,-,-,-,NotFound
Juventus,Moleque Travesso,1924-04-20,1924-04-20,Found
-,-,-,-,Found
Pelotas RS,Nóia,1911-05-01,1911-05-01,Found
Agremiação Sportiva Arapiraquense,Gigante,1952-09-25,1952-09-25,Found
-,-,-,-,Found
Operário Ferroviário Esporte Clube,Fantasma da Vila,1912-05-01,1912-05-01,Found
Itumbiara Esporte Clube,Tricolor da Fronteira,1970-03-09,1970-03-09,Found
Taguatinga Esporte Clube,&#39;&#39;Águia,1974-02-18,1974-02-18,Found
Ipatinga Futebol Clube,Quadricolor,1998-05-21,1998-05-21,Found
Esporte Clube Noroeste,Norusca,1910-09-01,1910-09-01,Found
Esporte Clube São Bento,Azulão,1913-09-14,1913-09-14,Found
Anápolis Futebol Clube,Tricolor da Boa Vista,1946-05-01,1946-05-01,Found
-,-,-,-,NotFound
Associação Ferroviária,Locomotiva,1950-04-12,1950-04-12,Found
Associação Atlética Colatina,-,1978-05-13,1978-05-13,Found
-,-,-,-,Found
Sobradinho Esporte Clube,Leão da Serra,1975-01-01,1975-01-01,Found
Cuiabá Esporte Clube,Auriverde da Baixada,2001-12-12,2001-12-12,Found
Esporte Clube Internacional,Coloradinho,1928-05-16,1928-05-16,Found
-,-,-,-,NotFound
-,-,-,-,NotFound
Associação Atlética Caldense,Veterana,1925-09-05,1925-09-05,Found
Corumbaense Futebol Clube,Carijó da Avenida,1914-01-01,1914-01-01,Found
-,-,-,-,NotFound
Ferroviário Esporte Clube,Ferrim,-,-,Found
Associação Cultural e Desportiva Potiguar,Time Macho,1948-02-15,1948-02-15,Found
Associação Atlética Francana,Feiticeira,1912-10-12,1912-10-12,Found
-,-,-,-,NotFound
Clube Esportivo Rio Branco,Róseo-Negro,1912-11-05,1912-11-05,Found
-,-,-,-,Found
Hercílio Luz Futebol Clube,Leão do Sul,1918-12-22,1918-12-22,Found
-,-,-,-,Found
-,-,-,-,NotFound
