Clube,Nome Completo,Apelido,Cidade,UF,Formacao,Fundacao,Série A,R_a,Série B,P_b,R_b,Série C,P_c,R_c,Série D,P_d
Independência,Independência Futebol Clube,Timão,Rio Branco,AC,1946-08-02,1946-08-02,0,–,1,–,–,2,–,–,0,–
Lagarto EC †,-,-,Lagarto,SE,-,-,0,–,1,–,–,2,–,–,0,–
Nacional de Patos,Nacional Atlético Clube,Naça,Patos,PB,1961-12-23,1961-12-23,0,–,1,–,–,2,–,–,0,–
AA Cabofriense †,-,-,Cabo Frio,RJ,-,-,0,–,1,–,–,1,–,–,0,–
Democrata-SL,Democrata Futebol Clube,Jacaré,Sete Lagoas,MG,-,14,0,–,1,–,–,1,–,–,0,–
Douradense †,-,-,Dourados,MS,-,-,0,–,1,–,–,1,–,–,0,–
Estudantes †,Estudantes Sport Club,Carneirão,Timbaúba,PE,1958-05-01,1958-05-01,0,–,1,–,–,1,–,–,0,–
Glória,Grêmio Esportivo Glória,Leão da Serra,Vacaria,RS,1956-11-15,1956-11-15,0,–,1,–,–,1,–,–,0,–
Princesa do Solimões,Princesa do Solimões Esporte Clube,Tubarão do Solimões,Manacapuru,AM,1971-08-18,1971-08-18,0,–,1,–,–,0,–,–,3,–
Serrano-BA †,Serrano Sport Club,Serra da Vitória,Porto Seguro,BA,1979-12-22,1979-12-22,0,–,1,–,–,0,–,–,1,–
Tiradentes-CE,Associação Esportiva Tiradentes,O Tigre da PM,Fortaleza,CE,1961-09-15,1961-09-15,0,–,1,–,–,0,–,–,1,–
América de Joinville †,-,-,Joinville,SC,-,-,0,–,1,–,–,0,–,–,0,–
Atlético Taguatinga [CBA] †,Clube Atlético Taguatinga,Jaguar,Taguatinga,DF,1984-10-15,1984-10-15,0,–,1,–,–,0,–,–,0,–
Botafogo-BA [BSC] †,Botafogo Sport Club,O Mais Simpático,Senhor do Bonfim,BA,1914-11-01,1914-11-01,0,–,1,–,–,0,–,–,0,–
Calouros do Ar,Calouros do Ar Futebol Clube,Tricolor tricolaço,Fortaleza,CE,1952-01-01,1952-01-01,0,–,1,–,–,0,–,–,0,–
GE Catanduvense †,Grêmio Esportivo Catanduvense,GEC,Catanduva,SP,1970-02-05,1970-02-05,0,–,1,–,–,0,–,–,0,–
Central-RJ †,-,-,Barra do Piraí,RJ,-,-,0,–,1,–,–,0,–,–,0,–
Guarapari †,Guarapari Esporte Clube,Tricolaço,Guarapari,ES,1936-06-12,1936-06-12,0,–,1,–,–,0,–,–,0,–
Maguari †,-,-,Fortaleza,CE,-,-,0,–,1,–,–,0,–,–,0,–
Foz do Iguaçu EC †,-,-,Foz do Iguaçu,PR,-,-,0,–,1,–,–,0,–,–,0,–
Nacional de Itumbiara †,-,-,Itumbiara,GO,-,-,0,–,1,–,–,0,–,–,0,–
Rodoviária †,Associação Atlética Rodoviária,Time dos Rodoviários,Manaus,AM,1960-01-20,1960-01-20,0,–,1,–,–,0,–,–,0,–
São Domingos †,Associação Sportiva São Domingos,Tricolor da igreja,Marechal Deodoro,AL,1964-09-01,1964-09-01,0,–,1,–,–,0,–,–,0,–
Madureira,Madureira Esporte Clube,Tricolor Suburbano,Rio de Janeiro,RJ,1914-08-08,1914-08-08,0,–,0,–,–,13,–,1,5,1
Rio Branco-SP,-,-,Americana,SP,-,-,0,–,0,–,–,12,–,–,0,–
Águia de Marabá,Águia de Marabá Futebol Clube,Azulão do Sul do Pará,Marabá,PA,1982-01-22,1982-01-22,0,–,0,–,–,10,–,1,1,–
Atlético Sorocaba †,Clube Atlético Sorocaba,Galo,Sorocaba,SP,1991-02-21,1991-02-21,0,–,0,–,–,10,–,–,0,–
Porto-PE,Clube Atlético do Porto,Tricolor do Agreste,Caruaru,PE,1993-07-30,1993-07-30,0,–,0,–,–,8,–,–,2,–
Ji-Paraná,Ji-Paraná Futebol Clube,Galo Azul,Ji-Paraná,RO,1991-04-22,1991-04-22,0,–,0,–,–,8,–,–,1,–
São José-RS,Esporte Clube São José,Zecavirus,Porto Alegre,RS,1913-05-24,1913-05-24,0,–,0,–,–,7,–,–,5,1
Tocantinópolis,Tocantinópolis Esporte Clube,Verdão do Norte,Tocantinópolis,TO,1989-01-01,1989-01-01,0,–,0,–,–,7,–,–,4,–
Ypiranga de Erechim,-,-,Erechim,RS,-,-,0,–,0,–,–,7,–,–,2,1
Tombense,Tombense Futebol Clube,Gavião-Carcará,Tombos,MG,1914-09-07,1914-09-07,0,–,0,–,–,7,–,–,1,1
CENE †,Clube Esportivo Nova Esperança,Furacão Amarelo,Campo Grande,MS,1999-12-13,1999-12-13,0,–,0,–,–,6,–,–,3,–
Friburguense,Friburguense Atlético Clube,Frisão,Nova Friburgo,RJ,1980-03-14,1980-03-14,0,–,0,–,–,6,–,–,2,–
Juazeiro,Juazeiro Social Clube,Tricolor do Norte,Juazeiro,BA,1995-08-16,1995-08-16,0,–,0,–,–,6,–,–,0,–
Palmas,Palmas Futebol e Regatas,Tricolor,Palmas,TO,1997-01-31,1997-01-31,0,–,0,–,–,5,–,–,5,–
Ypiranga-AP,Ypiranga Clube,Negro Anil,Macapá,AP,1963-05-15,1963-05-15,0,–,0,–,–,5,–,–,4,–
Atlético Roraima,Atlético Roraima Clube,Tricolor da Mecejana,Boa Vista,RR,1944-10-01,1944-10-01,0,–,0,–,–,5,–,–,3,–
Baré,Baré Esporte Clube,Índio da Consolata,Boa Vista,RR,1946-10-26,1946-10-26,0,–,0,–,–,5,–,–,3,–
Iraty †,Iraty Sport Club,Azulão,Irati,PR,1914-04-21,1914-04-21,0,–,0,–,–,5,–,–,1,–
Rio Branco-PR,Rio Branco Sport Club,Leão da Estradinha,Paranaguá,PR,1913-10-13,1913-10-13,0,–,0,–,–,5,–,–,1,–
Vitória-PE [VIT],Associação Desportiva Vitória,Tricolor das Tabocas,Vitória de Santo Antão,PE,1990-08-03,1990-08-03,0,–,0,–,–,5,–,–,1,–
Canoas [CAN] †,Canoas Sport Club,Tricolor Canoense,Canoas,RS,1998-01-23,1998-01-23,0,–,0,–,–,5,–,–,0,–
Corinthians-AL †,Sport Club Corinthians Alagoano,&#39;&#39;Tricolor da Via Expressa,Maceió,AL,1991-04-04,1991-04-04,0,–,0,–,–,5,–,–,0,–
Matsubara †,Sociedade Esportiva Matsubara,Japonesinho,Cambará,PR,1974-12-18,1974-12-18,0,–,0,–,–,5,–,–,0,–
Portuguesa Santista,-,-,Santos,SP,-,-,0,–,0,–,–,5,–,–,0,–
Tubarão-SC †,Tubarão Futebol Clube,Peixe,Tubarão,SC,1992-05-30,1992-05-30,0,–,0,–,–,5,–,–,0,–
Atlético Acreano,Atlético Acreano,Galo Carijó,Rio Branco,AC,1952-04-27,1952-04-27,0,–,0,–,–,4,–,1,6,1
Coruripe,Associação Atlética Coruripe,Hulk,Coruripe,AL,2003-03-01,2003-03-01,0,–,0,–,–,4,–,–,6,–
CRAC,Clube Recreativo e Atlético Catalano,Leão do Sul,Catalão,GO,1931-07-13,1931-07-13,0,–,0,–,–,4,–,2,3,1
São Raimundo-RR,-,-,Boa Vista,RR,-,-,0,–,0,–,–,3,–,–,6,–
Mirassol,Mirassol Futebol Clube,Leão da Alta Araraquense,Mirassol,SP,1925-11-09,1925-11-09,0,–,0,–,–,3,–,–,5,1
Sousa,Sousa Esporte Clube,Dinossauro Verde do Sertão,Sousa,PB,1991-07-10,1991-07-10,0,–,0,–,–,3,–,–,4,–
Araguaína,Araguaína Futebol e Regatas,Tourão do Norte,Araguaína,TO,1997-02-28,1997-02-28,0,–,0,–,–,3,–,1,2,1
Cabofriense,Associação Desportiva Cabofriense,Tricolor,Cabo Frio,RJ,1997-01-01,1955-11-15,0,–,0,–,–,3,–,–,2,–
Gurupi,Gurupi Esporte Clube,Camaleão do Sul,Gurupi,TO,-,"Juny 13, 1988",0,–,0,–,–,3,–,–,2,–
Atlético Cajazeirense,Atlético Cajazeirense de Desportos,Alviceleste,Cajazeiras,PB,1948-07-03,1948-07-03,0,–,0,–,–,3,–,–,1,–
Colo Colo,Colo Colo de Futebol e Regatas,Tigrão,Ilhéus,BA,1948-04-03,1948-04-03,0,–,0,–,–,3,–,–,1,–
Andirá,Andirá Esporte Clube,Morcego,Rio Branco,AC,1964-11-01,1964-11-01,0,–,0,–,–,3,–,–,0,–
CFZ-DF,-,-,Brasília,DF,-,-,0,–,0,–,–,3,–,–,0,–
Corisabbá,-,-,Floriano,PI,-,-,0,–,0,–,–,3,–,–,0,–
Nacional-SP,-,-,São Paulo,SP,-,-,0,–,0,–,–,3,–,–,0,–
Paranavaí,Atlético Clube Paranavaí,Vermelhinho do fim da linha,Paranavaí,PR,1946-03-14,1946-03-14,0,–,0,–,–,3,–,–,0,–
Real Brasília [REA],-,-,Núcleo Bandeirante,DF,-,-,0,–,0,–,–,3,–,–,0,–
São Raimundo-PA,-,-,Santarém,PA,-,-,0,–,0,–,–,2,–,1,6,1
Cianorte,Cianorte Futebol Clube,Leão do Vale do Ivaí,Cianorte,PR,2002-02-13,2002-02-13,0,–,0,–,–,2,–,–,5,–
Globo,Globo Futebol Clube,Águias,Ceará-Mirim,RN,2012-10-18,2012-10-18,0,–,0,–,–,2,–,1,5,1
Genus [GEN],Sport Club Genus de Porto Velho,Aurigrená da Capital,Porto Velho,RO,1981-11-15,1981-11-15,0,–,0,–,–,2,–,–,5,–
Portuguesa-RJ,-,-,Rio de Janeiro,RJ,-,-,0,–,0,–,–,2,–,–,4,–
Águia Negra,Esporte Clube Águia Negra,Águia,Rio Brilhante,MS,1972-05-31,1972-05-31,0,–,0,–,–,2,–,–,3,–
Jacuipense,Esporte Clube Jacuipense,Leão grená,Riachão do Jacuípe,BA,1965-04-21,1965-04-21,0,–,0,–,–,2,–,–,3,1
Manaus,Manaus Futebol Clube,Gavião Real,Manaus,AM,2013-05-05,2013-05-05,0,–,0,–,–,2,–,–,2,1
Ypiranga-PE,Sociedade Esportiva Ypiranga Futebol Clube,Azulino,Santa Cruz do Capibaribe,PE,1938-07-03,1938-07-03,0,–,0,–,–,2,–,–,2,–
Castanhal,Castanhal Esporte Clube,Japiim da Estrada,Castanhal,PA,1924-09-07,1924-09-07,0,–,0,–,–,2,–,–,1,–
Juventus de Jaraguá,Grêmio Esportivo Juventus,Tricolor Jaraguaense,Jaraguá do Sul,SC,1966-05-01,1966-05-01,0,–,0,–,–,2,–,–,1,–
15 de Novembro †,Clube 15 de Novembro,15,Campo Bom,RS,1911-11-15,--11-15,0,–,0,–,–,2,–,–,0,–
ADAP/Galo Maringá †,-,-,Maringá,PR,-,-,0,–,0,–,–,2,–,–,0,–
Amapá,Amapá Clube,Zebra,Macapá,AP,1944-02-26,1944-02-26,0,–,0,–,–,2,–,–,0,–
Ananindeua,Clube Municipal Ananindeua,Tartaruga,Ananindeua,PA,1978-01-03,1978-01-03,0,–,0,–,–,2,–,–,0,–
Atlético de Ibirama,Clube Atlético Hermann Aichinger,Capeta,Ibirama,SC,1951-09-20,1951-09-20,0,–,0,–,–,2,–,–,0,–
Bacabal,Bacabal Esporte Clube,Leão do Mearim,Bacabal,MA,1974-05-14,1974-05-14,0,–,0,–,–,2,–,–,0,–
Barras †,-,-,Barras,PI,-,-,0,–,0,–,–,2,–,–,0,–
Batel,Associação Atlética Batel,-,Guarapuava,PR,1951-03-17,1951-03-17,0,–,0,–,–,2,–,–,0,–
Caxiense †,-,-,Caxias,MA,-,-,0,–,0,–,–,2,–,–,0,–
Ceilandense,-,-,Ceilândia,DF,-,-,0,–,0,–,–,2,–,–,0,–
Corintians de Caicó †,-,-,Caicó,RN,-,-,0,–,0,–,–,2,–,–,0,–
Grêmio Coariense †,Grêmio Atlético Coariense,Tricolor de Coari,Coari,AM,1977-01-06,1977-01-06,0,–,0,–,–,2,–,–,0,–
Grêmio Anápolis,Grêmio Esportivo Anápolis,Azulão Anapolino,Anápolis,GO,-,-,0,–,0,–,–,2,–,–,0,–
Grêmio Jaciara †,-,-,Jaciara,MT,-,-,0,–,0,–,–,2,–,–,0,–
Ipitanga †,-,-,Lauro de Freitas,BA,-,-,0,–,0,–,–,2,–,–,0,–
Itapipoca,Itapipoca Esporte Clube,Garoto Travesso dos Três Climas,Itapipoca,CE,1993-12-20,1993-12-20,0,–,0,–,–,2,–,–,0,–
Izabelense,Atlético Clube Izabelense,Frangão da Estrada,Santa Izabel do Pará,PA,1924-04-26,1924-04-26,0,–,0,–,–,2,–,–,0,–
Jataiense,Associação Esportiva Jataiense,Raposa do Sudoeste,Jataí,GO,1952-01-01,1952-01-01,0,–,0,–,–,2,–,–,0,–
Kaburé †,Kaburé Esporte Clube,-,Colinas do Tocantins,TO,1985-01-05,1985-01-05,0,–,0,–,–,2,–,–,0,–
Linhares,Linhares Futebol Clube,-,Linhares,ES,2001-08-16,2001-08-16,0,–,0,–,–,2,–,–,0,–
Maruinense,Centro Sportivo Maruinense,CSM,Maruim,SE,1917-04-03,1917-04-03,0,–,0,–,–,2,–,–,0,–
Matonense,Sociedade Esportiva Matonense,Águia azul,Matão,SP,1976-05-24,1976-05-24,0,–,0,–,–,2,–,–,0,–
Palmeiras do Nordeste †,-,-,Feira de Santana,BA,-,-,0,–,0,–,–,2,–,–,0,–
Planaltina,Planaltina Esporte Clube,-,Planaltina,DF,1963-05-30,1963-05-30,0,–,0,–,–,2,–,–,0,–
Ponta Grossa †,Ponta Grossa Esporte Clube,-,Ponta Grossa,PR,1994-06-30,1994-06-30,0,–,0,–,–,2,–,–,0,–
Progresso,Atlético Progresso Clube,Verdão,Mucajaí,RR,1959-07-21,1959-07-21,0,–,0,–,–,2,–,–,0,–
Santa Inês †,-,-,Santa Inês,MA,-,-,0,–,0,–,–,2,–,–,0,–
São Gonçalo-RN †,-,-,São Gonçalo do Amarante,RN,-,-,0,–,0,–,–,2,–,–,0,–
Sertãozinho,Sertãozinho Futebol Clube,Touro dos Canaviais,Sertãozinho,SP,1944-08-06,1944-08-06,0,–,0,–,–,2,–,–,0,–
Taveirópolis †,Esporte Clube Taveirópolis,Taveira,Campo Grande,MS,1938-07-30,1938-07-30,0,–,0,–,–,2,–,–,0,–
União Araguainense †,-,-,Araguaína,TO,-,-,0,–,0,–,–,2,–,–,0,–
Vasco-AC,Associação Desportiva Vasco da Gama,Bacalhau D&#39;água Doce,Rio Branco,AC,1952-06-28,1952-06-28,0,–,0,–,–,2,–,–,0,–
Viana,Esporte Clube Viana,Leão da Baixada,Viana,MA,1995-06-15,1995-06-15,0,–,0,–,–,2,–,–,0,–
Metropolitano,Clube Atlético Metropolitano,Verdão,Blumenau,SC,2002-01-22,2002-01-22,0,–,0,–,–,1,–,–,8,–
Santos-AP,-,-,Macapá,AP,-,-,0,–,0,–,–,1,–,–,8,–
Vitória da Conquista,Esporte Clube Primeiro Passo Vitória da Conquista,Bode,Vitória da Conquista,BA,2005-01-21,2005-01-21,0,–,0,–,–,1,–,–,6,–
Altos,Associação Atlética de Altos,Jacaré,Altos,PI,2013-07-19,2013-07-19,0,–,0,–,–,1,–,–,5,1
Boavista-RJ,Boavista Sport Club,Verdão de Saquarema,Saquarema,RJ,1961-10-14,2004-03-10,0,–,0,–,–,1,–,–,5,–
Juazeirense,Sociedade Desportiva Juazeirense,Cancão de Fogo,Juazeiro,BA,2006-12-12,2006-12-12,0,–,0,–,–,1,–,1,5,1
URT,União Recreativa dos Trabalhadores,Trovão Azul,Patos de Minas,MG,1939-07-09,1939-07-09,0,–,0,–,–,1,–,–,4,–
Novorizontino,Grêmio Novorizontino,O Tigre do Vale,Novo Horizonte,SP,2010-03-01,2010-03-01,0,–,0,–,–,1,–,–,3,1
Luziânia,Associação Atlética Luziânia,Azulino do Entorno,Luziânia,DF,1926-12-13,1926-12-13,0,–,0,–,–,1,–,–,3,–
Trem,Trem Desportivo Clube,Locomotiva,Macapá,AP,1947-01-01,1947-01-01,0,–,0,–,–,1,–,–,3,–
4 de Julho,4,Colorado de Piripiri,Piripiri,PI,1987-07-04,1987-07-04,0,–,0,–,–,1,–,–,2,–
Cristal †,Cristal Atlético Clube,Dragão,Macapá,AP,1969-11-15,1969-11-15,0,–,0,–,–,1,–,–,2,–
Floresta,Floresta Esporte Clube,Lobo da Vila Manoel Sátiro,Fortaleza,CE,1954-11-09,1954-11-09,0,–,0,–,–,1,–,–,2,1
Linense,Clube Atlético Linense,Elefante da Noroeste,Lins,SP,1927-06-12,1927-06-12,0,–,0,–,–,1,–,–,2,–
São Francisco,-,-,Santarém,PA,-,-,0,–,0,–,–,1,–,–,2,–
Vila Aurora,Sociedade Esportiva Vila Aurora,Tigrão,Rondonópolis,MT,1964-05-05,1964-05-05,0,–,0,–,–,1,–,–,2,–
América-AM †,-,-,Manaus,AM,-,-,0,–,0,–,–,1,–,–,1,–
Botafogo-DF [BOT],Associação Botafogo Futebol Clube,Alvinegro candango,Guará,DF,2009-07-14,2004-07-14,0,–,0,–,–,1,–,–,1,–
Camaçari †,Camaçari Futebol Clube,-,Camaçari,BA,1968-11-08,1968-11-08,0,–,0,–,–,1,–,–,1,–
Flamengo de Arcoverde,-,-,Arcoverde,PE,-,-,0,–,0,–,–,1,–,–,1,–
GAS [GAS],Grêmio Atlético Sampaio,Leão Dourado,Caracaraí,RR,1965-06-11,1965-06-11,0,–,0,–,–,1,–,–,1,–
Gaúcho,Sport Club Gaúcho,O mais querido da cidade,Passo Fundo,RS,1918-05-12,1918-05-12,0,–,0,–,–,1,–,–,1,–
Guarani-MG,-,-,Divinópolis,MG,-,-,0,–,0,–,–,1,–,–,1,–
Horizonte,Horizonte Futebol Clube,Galo do Tabuleiro,Horizonte,CE,2004-03-27,2004-03-27,0,–,0,–,–,1,–,–,1,–
Macapá,Esporte Clube Macapá,Leão,Macapá,AP,1941-09-07,1941-09-07,0,–,0,–,–,1,–,–,1,–
Nacional-PR,-,-,Rolândia,PR,-,-,0,–,0,–,–,1,–,–,1,–
Petrolina,Petrolina Social Futebol Clube,Fera Sertaneja,Petrolina,PE,1998-11-11,1998-11-11,0,–,0,–,–,1,–,–,1,–
Santa Cruz-RN,Sport Club Santa Cruz,Tricolor do Trairi,Santa Cruz,RN,2003-11-30,2003-11-30,0,–,0,–,–,1,–,–,1,–
São Luiz,Esporte Clube São Luiz,Rubro,Ijuí,RS,1938-02-20,1938-02-20,0,–,0,–,–,1,–,–,1,–
São Mateus,Centro Educativo Recreativo Associação Atlética São Mateus,Gigante do Norte,São Mateus,ES,1963-12-13,1963-12-13,0,–,0,–,–,1,–,–,1,–
Toledo,Toledo Esporte Clube,TEC,Toledo,PR,2004-02-10,2004-02-10,0,–,0,–,–,1,–,–,1,–
Abaeté †,Abaeté Futebol Clube,-,Abaetetuba,PA,1936-03-05,1936-03-05,0,–,0,–,–,1,–,–,0,–
ADAP †,Associação Desportiva Atlética do Paraná,-,Campo Mourão,PR,-,1999,0,–,0,–,–,1,–,–,0,–
ADESG †,Associação Desportiva Senador Guiomard,Leão do Quinari,Senador Guiomard,AC,1982-01-26,1982-01-26,0,–,0,–,–,1,–,–,0,–
Alvorada,Associação Atlética Alvorada,Águia do Norte,Alvorada,TO,-,-,0,–,0,–,–,1,–,–,0,–
América de Esperança †,-,-,Esperança,PB,-,-,0,–,0,–,–,1,–,–,0,–
Araçatuba,-,-,Araçatuba,SP,-,-,0,–,0,–,–,1,–,–,0,–
SE Ariquemes †,Sociedade Esportiva Ariquemes,Auriverde do Vale do Jamari,Ariquemes,RO,1981-04-11,1981-04-11,0,–,0,–,–,1,–,–,0,–
Atlético Três Corações,-,-,Três Corações,MG,-,-,0,–,0,–,–,1,–,–,0,–
Barra de Teresópolis †,-,-,Teresópolis,RJ,-,-,0,–,0,–,–,1,–,–,0,–
Barra Mansa,Barra Mansa Futebol Clube,BMFC,Barra Mansa,RJ,1908-11-15,1908-11-15,0,–,0,–,–,1,–,–,0,–
Batalhense †,-,-,Belém,AL,-,-,0,–,0,–,–,1,–,–,0,–
Bayer †,Bayer Esporte Clube,-,Belford Roxo,RJ,1962-06-01,1962-06-01,0,–,0,–,–,1,–,–,0,–
Caçadorense †,-,-,Caçador,SC,-,-,0,–,0,–,–,1,–,–,0,–
Cacerense,Cacerense Esporte Clube,Fera da Fronteira,Cáceres,MT,2005-07-05,2005-07-05,0,–,0,–,–,1,–,–,0,–
Cachoeiro †,Cachoeiro Futebol Clube,Alvirrubro,Cachoeiro de Itapemirim,ES,1916-01-09,1916-01-09,0,–,0,–,–,1,–,–,0,–
Caldas,Caldas Esporte Clube,-,Caldas Novas,GO,1982-04-18,1982-04-18,0,–,0,–,–,1,–,–,0,–
Caxias-SC,Caxias Futebol Clube,Gualicho,Joinville,SC,1920-10-12,1920-10-12,0,–,0,–,–,1,–,–,0,–
Centro Limoeirense,Centro Limoeirense de Futebol,O Mais Querido,Limoeiro,PE,1913-09-15,1913-09-15,0,–,0,–,–,1,–,–,0,–
CFA †,-,-,Porto Velho,RO,-,-,0,–,0,–,–,1,–,–,0,–
CFZ-RJ †,-,-,Rio de Janeiro,RJ,-,-,0,–,0,–,–,1,–,–,0,–
Chapadão,Sociedade Esportiva e,Tricolor,Chapadão do Sul,MS,1981-08-28,1981-08-28,0,–,0,–,–,1,–,–,0,–
Chapadinha,-,-,Chapadinha,MA,-,-,0,–,0,–,–,1,–,–,0,–
Corinthians-PP †,Esporte Clube Corinthians,Corintinha,Presidente Prudente,SP,1945-02-08,1945-02-08,0,–,0,–,–,1,–,–,0,–
Coroatá †,-,-,Coroatá,MA,-,-,0,–,0,–,–,1,–,–,0,–
Coxim,Coxim Atlético Clube,CAC,Coxim,MS,2002-01-10,2002-01-10,0,–,0,–,–,1,–,–,0,–
Duque de Caxias-MA †,-,-,Caxias,MA,-,-,0,–,0,–,–,1,–,–,0,–
Engenheiro Beltrão †,-,-,Engenheiro Beltrão,PR,-,-,0,–,0,–,–,1,–,–,0,–
EC Limoeiro,-,-,Limoeiro do Norte,CE,-,-,0,–,0,–,–,1,–,–,0,–
Fabril †,Fabril Esporte Clube,Falcão da Zona Norte,Lavras,MG,1932-09-02,1932-09-02,0,–,0,–,–,1,–,–,0,–
Guarabira,Associação Desportiva Guarabira,Guarabira,Guarabira,PB,2005-05-02,2005-05-02,0,–,0,–,–,1,–,–,0,–
Guarany de Cruz Alta †,Sport Club Guarany,Rei da Campanha,Cruz Alta,RS,1913-09-20,1913-09-20,0,–,0,–,–,1,–,–,0,–
Holanda,Holanda Esporte Clube,Time  Laranja,Rio Preto da Eva,AM,2007-10-21,1984-10-24,0,–,0,–,–,1,–,–,0,–
Iguaçu,Associação Atlética Iguaçu,Pantera do Vale,União da Vitória,PR,1971-08-15,1971-08-15,0,–,0,–,–,1,–,–,0,–
Itacuruba †,Itacuruba Sport Club,Papão,Itacuruba,PE,1987-08-02,1987-08-02,0,–,0,–,–,1,–,–,0,–
Jaguaré †,Associação Jaguaré Esporte Clube,Tricolor do Norte,Jaguaré,ES,2001-12-05,2001-12-05,0,–,0,–,–,1,–,–,0,–
Jaruense †,-,-,Jaru,RO,-,-,0,–,0,–,–,1,–,–,0,–
Joaçaba †,-,-,Joaçaba,SC,-,-,0,–,0,–,–,1,–,–,0,–
Juventude-MT †,Sociedade Esportiva e Recreativa Juventude,-,Primavera do Leste,MT,1982-05-23,1982-05-23,0,–,0,–,–,1,–,–,0,–
Lagartense,Atlético Clube Lagartense,Verdão,Lagarto,SE,1992-08-11,1992-08-11,0,–,0,–,–,1,–,–,0,–
Lages †,-,-,Lages,SC,-,-,0,–,0,–,–,1,–,–,0,–
Legião,-,-,Brasília,DF,-,-,0,–,0,–,–,1,–,–,0,–
AD Limoeiro †,Associação Desportiva Limoeiro Futebol Clube,Jaguar do Vale,Limoeiro do Norte,CE,2001-02-01,2001-02-01,0,–,0,–,–,1,–,–,0,–
Linhares EC †,Linhares Esporte Clube,Coruja Azul,Linhares,ES,1991-03-15,1991-03-15,0,–,0,–,–,1,–,–,0,–
Mamoré,Esporte Clube Mamoré,Sapo,Patos de Minas,MG,1949-06-13,1949-06-13,0,–,0,–,–,1,–,–,0,–
Manchete †[MAN],Manchete Futebol Clube do Recife,Colorado,Recife,PE,1950-01-01,1950-01-01,0,–,0,–,–,1,–,–,0,–
Mineiros,Mineiros Esporte Clube,Águia do Vale,Mineiros,GO,1977-01-20,1977-01-20,0,–,0,–,–,1,–,–,0,–
Montes Claros,-,-,Montes Claros,MG,-,-,0,–,0,–,–,1,–,–,0,–
Novo Horizonte,Novo Horizonte Futebol Clube,Zonte,Ipameri,GO,1968-02-27,1968-02-27,0,–,0,–,–,1,–,–,0,–
Olímpia,Olímpia Futebol Clube,OFC,Olímpia,SP,1946-12-05,1946-12-05,0,–,0,–,–,1,–,–,0,–
Operário Ltda.,-,-,Várzea Grande,MT,-,-,0,–,0,–,–,1,–,–,0,–
EC Operário †,-,-,Várzea Grande,MT,-,-,0,–,0,–,–,1,–,–,0,–
Paraíso [PAR] †,Paraíso Esporte Clube,Touro Forte,Paraíso do Tocantins,TO,1992-07-13,1992-07-13,0,–,0,–,–,1,–,–,0,–
Paranoá,Paranoá Esporte Clube,-,Paranoá,DF,2000-04-30,2000-04-30,0,–,0,–,–,1,–,–,0,–
Passo Fundo,Esporte Clube Passo Fundo,O clube que nasceu campeão&#39;,Passo Fundo,RS,1986-01-10,1986-01-10,0,–,0,–,–,1,–,–,0,–
Pauferrense †,Sociedade Esportiva Pauferrense,Gavião do Oeste,Pau dos Ferros,RN,1995-05-01,1995-05-01,0,–,0,–,–,1,–,–,0,–
Paulistano †,Paulistano Futebol Clube,-,Paulista,PE,1982-08-07,1982-08-07,0,–,0,–,–,1,–,–,0,–
Pedrabranca †[PED],Pedrabranca Futebol Clube,-,Alvorada,RS,2001-04-09,--08-08,0,–,0,–,–,1,–,–,0,–
Pirambu †,Olímpico Pirambu Futebol Clube,Time da Calcinha Preta,Pirambu,SE,1931-09-04,1931-09-04,0,–,0,–,–,1,–,–,0,–
Poções †,Serrano Sport Club,Raposa do Agreste,Poções,BA,1985-01-08,1985-01-08,0,–,0,–,–,1,–,–,0,–
Quixadá †,Quixadá Futebol Clube,Canarinho do Sertão,Quixadá,CE,1965-10-27,1965-10-27,0,–,0,–,–,1,–,–,0,–
Real Clube †,-,-,Itumbiara,GO,-,-,0,–,0,–,–,1,–,–,0,–
Rio Claro,Rio Claro Futebol Clube,Aguinha,Rio Claro,SP,1909-05-09,1909-05-09,0,–,0,–,–,1,–,–,0,–
Rio Negro-RR,-,-,Boa Vista,RR,-,-,0,–,0,–,–,1,–,–,0,–
Rio Pardo †,-,-,Iúna,ES,-,-,0,–,0,–,–,1,–,–,0,–
Rio Verde,Esporte Clube Rio Verde,Verdão,Rio Verde,GO,1963-08-22,1963-08-22,0,–,0,–,–,1,–,–,0,–
Rioverdense,Associação Atlética Rioverdense,Tricolor do Cerrado,Rio Verde,GO,1985-04-12,1985-04-12,0,–,0,–,–,1,–,–,0,–
Roma de Apucarana †,Roma Esporte de Apucarana S/A Ltda.,Tricolor,Apucarana,PR,-,2000,0,–,0,–,–,1,–,–,0,–
Santa Cruz-PB †,Santa Cruz Recreativo Esporte Clube,Santa Cruz de Santa Rita,Santa Rita,PB,1939-04-15,1939-04-15,0,–,0,–,–,1,–,–,0,–
Santa Rosa,Santa Rosa Esporte Clube,Pantera da Vila,Belém,PA,1924-01-06,1924-01-06,0,–,0,–,–,1,–,–,0,–
São Borja [SBO],-,-,São Borja,RS,-,-,0,–,0,–,–,1,–,–,0,–
Sãocarlense,Grêmio Esportivo Sãocarlense,Lobo da Central,São Carlos,SP,1976-03-19,1976-03-19,0,–,0,–,–,1,–,–,0,–
São Cristóvão,São Cristóvão de Futebol e Regatas,Tóvão,Rio de Janeiro,RJ,1898-10-12,1898-10-12,0,–,0,–,–,1,–,–,0,–
