Clube,Nome Completo,Apelido,Cidade,UF,Formacao,Fundacao,Série A,R_a,Série B,P_b,R_b,Série C,P_c,R_c,Série D,P_d
Avaí,-,-,Florianópolis,SC,-,-,10,4,23,4,–,4,1,–,0,–
Operário-MS,-,-,Campo Grande,MS,-,-,10,–,6,–,–,8,–,–,1,–
Vila Nova,Vila Nova Futebol Clube,Tigrão,Goiânia,GO,1943-07-29,1943-07-29,9,–,23,–,4,9,5,–,0,–
Treze [TRE],Treze Futebol Clube,Galo da Borborema,Campina Grande,PB,1925-09-07,1925-09-07,9,1,9,1,–,15,–,2,6,1
Chapecoense,Associação Chapecoense de Futebol,Chape terror,Chapecó,SC,1973-05-10,1973-05-10,9,1,4,2,–,9,1,–,1,1
Americano,-,-,Campos dos Goytacazes,RJ,-,-,8,–,20,2,2,5,1,–,1,–
Confiança,Associação Desportiva Confiança,Gigante Operário,Aracaju,SE,1936-05-01,1936-05-01,8,–,10,–,–,20,1,1,2,1
River,River Atlético Clube,Galo de Aço,Teresina,PI,1946-03-01,1946-03-01,8,1,10,–,–,9,–,1,5,1
Mixto,Mixto Esporte Clube,Alvinegro,Cuiabá,MT,1934-05-20,1934-05-20,8,2,6,–,–,5,–,1,3,–
Londrina,Londrina Esporte Clube,Tubarão,Londrina,PR,1956-04-05,1956-04-05,7,–,25,1,2,3,2,–,3,1
São Caetano,Associação Desportiva São Caetano,Azulão,São Caetano do Sul,SP,1989-12-04,1989-12-04,7,1,9,1,1,2,1,1,3,–
Rio Negro,-,-,Manaus,AM,-,-,7,–,8,–,–,8,–,–,0,–
Botafogo-PB,-,-,João Pessoa,PB,-,-,7,–,5,–,–,18,–,–,1,1
Flamengo-PI,Esporte Clube Flamengo,Mengão,Teresina,PI,1937-12-08,1937-12-08,7,–,4,–,–,5,–,–,2,–
Inter de Limeira,Associação Atlética Internacional,&#39;&#39;Leão da Paulista,Limeira,SP,1913-10-05,1913-10-05,7,–,4,–,–,5,–,–,1,–
Brasília,Brasília Futebol Clube,Colorado Candango,Brasília,DF,1975-06-02,1975-06-02,7,–,3,–,–,3,–,–,3,–
Botafogo-SP,-,-,Ribeirão Preto,SP,-,-,6,2,16,3,2,7,2,–,3,1
Gama,Sociedade Esportiva do Gama,Verdão,Gama,DF,1975-11-15,1975-11-15,6,2,10,1,2,5,2,1,4,–
Ferroviário,-,-,Fortaleza,CE,-,-,6,2,7,–,–,15,–,–,2,1
Grêmio Maringá,Grêmio de Esportes Maringá,Galo Guerreiro,Maringá,PR,1961-07-07,1961-07-07,6,–,7,–,–,4,–,–,0,–
Uberaba,Uberaba Sport Club,Colorado,Uberaba,MG,1917-07-15,1917-07-15,6,–,5,–,–,3,–,–,2,–
Goytacaz,Goytacaz Futebol Clube,O Mais Querido da Cidade,Campos dos Goytacazes,RJ,1912-08-20,1912-08-20,6,–,5,–,–,1,–,–,0,–
Comercial-MS,-,-,Campo Grande,MS,-,-,6,–,4,–,–,6,–,–,3,–
Itabaiana,Associação Olímpica de Itabaiana,Tricolor da Serra,Itabaiana,SE,1938-07-10,1938-07-10,5,1,4,–,–,10,–,–,7,–
Tiradentes-PI,Sociedade Esportiva Tiradentes,Amarelão da PM,Teresina,PI,1959-06-30,1959-06-30,5,–,4,–,–,1,–,–,0,–
Colorado †,Colorado Esporte Clube,Boca Negra,Curitiba,PR,1971-06-29,1971-06-29,5,–,1,–,–,1,–,–,0,–
Metropol †,Esporte Clube Metropol,Carneiros,Criciúma,SC,1945-11-15,1945-11-15,5,–,0,–,–,0,–,–,0,–
Tuna Luso,Tuna Luso Brasileira,Elite do Norte,Belém,PA,1903-01-01,1903-01-01,4,–,14,1,2,7,1,–,0,–
Anapolina,Associação Atlética Anapolina,Rubra,Anápolis,GO,1948-01-01,1948-01-01,4,–,13,1,1,3,1,–,4,–
Caxias,Sociedade Esportiva e Recreativa Caxias do Sul,Falcão Grená,Caxias do Sul,RS,1935-04-10,1935-04-10,4,–,11,–,1,16,1,1,5,–
Brasil de Pelotas,Grêmio Esportivo Brasil,Xavante,Pelotas,RS,1911-09-07,1911-09-07,4,–,9,–,–,14,2,1,2,1
União São João †,União São João Esporte Clube,Verdão,Araras,SP,1981-01-14,1981-01-14,4,2,9,2,2,3,–,–,0,–
Uberlândia,Uberlândia Esporte Clube,Verdão,Uberlândia,MG,1922-11-01,1922-11-01,4,–,6,1,–,8,–,–,3,–
Fluminense de Feira,Fluminense de Feira Futebol Clube,Touro do Sertão,Feira de Santana,BA,1941-01-01,1941-01-01,4,–,6,–,–,6,–,–,6,–
CEOV,-,-,Várzea Grande,MT,-,-,4,–,5,–,–,2,–,–,3,–
Goiânia,Goiânia Esporte Clube,Galo Carijó,Goiânia,GO,1938-07-05,1938-07-05,4,–,4,–,–,6,–,–,1,–
Piauí,Piauí Esporte Clube,Enxuga-Rato,Teresina,PI,1948-08-15,1948-08-15,4,–,2,–,–,2,–,–,0,–
XV de Piracicaba,Esporte Clube XV de Novembro,XV,Piracicaba,SP,1913-11-15,1913-11-15,3,–,12,–,1,3,1,–,1,–
Volta Redonda,-,-,Volta Redonda,RJ,-,-,3,–,8,–,1,14,1,–,4,1
Maranhão,Maranhão Atlético Clube,Esquadrão Quadricolor,São Luís,MA,1932-09-24,1932-09-24,3,–,8,–,–,4,–,–,4,–
Leônico [LEO] †,Associação Desportiva Leônico,Guerreiros da Ladeira,Simões Filho,BA,1940-04-03,1940-04-03,3,–,4,–,–,0,–,–,0,–
Villa Nova,Villa Nova Atlético Clube,Leão do Bonfim,Nova Lima,MG,-,28,3,–,3,–,–,11,1,–,7,–
Fast Clube,Nacional Fast Clube,Clube Cintado,Manaus,AM,1930-07-08,1930-07-08,3,–,2,–,–,4,–,–,4,–
Alecrim,Alecrim Futebol Clube,Verdão,Natal,RN,1915-08-15,1915-08-15,3,–,2,–,–,3,–,1,2,1
São Paulo-RS,Sport Club São Paulo,Caturrita,Rio Grande,RS,1908-10-04,1908-10-04,3,–,2,1,–,0,–,–,2,–
Dom Bosco,Clube Esportivo Dom Bosco,Leão da Colina,Cuiabá,MT,1925-01-04,1925-01-04,3,–,1,–,–,1,–,–,1,–
CEUB †,Centro de Ensino Unificado de Brasília Esporte Clube,-,Brasília,DF,-,1968,3,–,0,–,–,0,–,–,0,–
Ferroviário-PR †,-,-,Curitiba,PR,-,-,3,–,0,–,–,0,–,–,0,–
Fonseca †,Fonseca Atlético Clube,-,Niterói,RJ,1917-10-12,1917-10-12,3,–,0,–,–,0,–,–,0,–
Rabello †,-,-,Brasília,DF,-,-,3,–,0,–,–,0,–,–,0,–
Central,Central Sport Club,Central de Caruaru,Caruaru,PE,1919-06-15,1919-06-15,2,–,18,1,2,5,–,–,11,–
Santo André,Esporte Clube Santo André,Ramalhão,Santo André,SP,1967-09-18,1967-09-18,2,1,9,1,1,10,1,1,2,–
América de Rio Preto,-,-,São José do Rio Preto,SP,-,-,2,–,6,1,1,7,–,–,0,–
Campo Grande,Campo Grande Atlético Clube,Galo da Zona Oeste,Rio de Janeiro,RJ,-,"Juny 13, 1940",2,–,5,1,–,5,–,–,0,–
Grêmio Barueri [GBA] †,-,-,Barueri,SP,-,-,2,1,4,1,1,2,1,1,1,–
Pinheiros †,-,-,Curitiba,PR,-,-,2,–,4,–,–,0,–,–,0,–
São José-SP,São José Esporte Clube,Águia do Vale,São José dos Campos,SP,1933-08-13,1933-08-13,2,1,3,1,–,2,–,–,0,–
Itabuna,Itabuna Esporte Clube,Dragão do Sul,Itabuna,BA,1967-05-23,1967-05-23,2,–,3,–,–,1,–,–,0,–
Comercial,Comercial Futebol Clube,Leão do Norte,Ribeirão Preto,SP,1911-10-10,1911-10-10,2,–,2,–,–,4,–,–,0,–
Galícia,Galícia Esporte Clube,&#39;&#39;Azulino,Salvador,BA,1933-01-01,1933-01-01,2,1,1,–,–,3,–,–,1,–
Capelense †,Centro Sportivo Capelense,Tri-Campeão,Capela,AL,1946-04-04,1946-04-04,2,–,1,–,–,2,–,–,0,–
Olaria,-,-,Rio de Janeiro,RJ,-,-,2,–,0,–,–,5,–,–,0,–
XV de Jaú,Esporte Clube XV de Novembro,Galo da Comarca,Jaú,SP,1924-11-15,1924-11-15,2,–,0,–,–,1,–,–,0,–
Santa Cruz-SE †,-,-,Estância,SE,-,-,2,–,0,–,–,0,–,–,0,–
Santo Antônio †,-,-,Vitória,ES,-,-,2,–,0,–,–,0,–,–,0,–
Juventus-SP,Juventus,Moleque Travesso,São Paulo,SP,1924-04-20,1924-04-20,1,1,12,–,1,7,1,–,0,–
Catuense †,-,-,Catu,BA,-,-,1,–,8,–,–,9,–,–,0,–
Novo Hamburgo,Pelotas RS,Nóia,Novo Hamburgo,RS,1911-05-01,1911-05-01,1,–,8,–,–,3,–,–,3,–
ASA,Agremiação Sportiva Arapiraquense,Gigante,Arapiraca,AL,1952-09-25,1952-09-25,1,–,7,–,1,13,1,1,3,–
Brasiliense,-,-,Taguatinga,DF,-,-,1,1,7,1,1,5,1,1,5,–
Operário-PR,Operário Ferroviário Esporte Clube,Fantasma da Vila,Ponta Grossa,PR,1912-05-01,1912-05-01,1,–,7,–,–,2,1,–,4,1
Itumbiara,Itumbiara Esporte Clube,Tricolor da Fronteira,Itumbiara,GO,1970-03-09,1970-03-09,1,–,5,–,–,7,–,–,3,–
Taguatinga,Taguatinga Esporte Clube,&#39;&#39;Águia,Taguatinga,DF,1974-02-18,1974-02-18,1,–,5,–,–,3,–,–,0,–
Ipatinga [IPA],Ipatinga Futebol Clube,Quadricolor,Ipatinga,MG,1998-05-21,1998-05-21,1,1,4,1,2,9,2,1,1,–
Noroeste,Esporte Clube Noroeste,Norusca,Bauru,SP,1910-09-01,1910-09-01,1,–,4,–,–,5,–,–,0,–
São Bento,Esporte Clube São Bento,Azulão,Sorocaba,SP,1913-09-14,1913-09-14,1,–,4,–,1,3,1,–,2,1
Anápolis,Anápolis Futebol Clube,Tricolor da Boa Vista,Anápolis,GO,1946-05-01,1946-05-01,1,–,3,–,–,8,–,–,2,–
Vitória-ES,-,-,Vitória,ES,-,-,1,–,3,–,–,4,–,–,2,–
Ferroviária,Associação Ferroviária,Locomotiva,Araraquara,SP,1950-04-12,1950-04-12,1,–,3,–,1,3,1,–,4,–
AA Colatina †,Associação Atlética Colatina,-,Colatina,ES,1978-05-13,1978-05-13,1,–,3,–,–,3,–,–,0,–
Guará †,-,-,Guará,DF,-,-,1,–,3,–,–,2,–,–,0,–
Sobradinho,Sobradinho Esporte Clube,Leão da Serra,Sobradinho,DF,1975-01-01,1975-01-01,1,–,3,–,–,1,–,–,2,–
Cuiabá,Cuiabá Esporte Clube,Auriverde da Baixada,Cuiabá,MT,2001-12-12,2001-12-12,1,–,2,1,–,9,1,–,1,1
Inter de Santa Maria,Esporte Clube Internacional,Coloradinho,Santa Maria,RS,1928-05-16,1928-05-16,1,–,2,–,–,4,–,–,0,–
Auto Esporte-PB,-,-,João Pessoa,PB,-,-,1,–,2,–,–,3,–,–,0,–
J.Malucelli [JMA] †,-,-,Curitiba,PR,-,-,1,–,1,–,–,3,–,–,3,–
Caldense,Associação Atlética Caldense,Veterana,Poços de Caldas,MG,1925-09-05,1925-09-05,1,–,1,–,–,1,–,–,7,–
Corumbaense,Corumbaense Futebol Clube,Carijó da Avenida,Corumbá,MS,1914-01-01,1914-01-01,1,–,1,–,–,1,–,–,2,–
Auto Esporte-PI †,-,-,Teresina,PI,-,-,1,–,1,–,–,0,–,–,0,–
Ferroviário-MA †,Ferroviário Esporte Clube,Ferrim,São Luís,MA,-,-,1,–,1,–,–,0,–,–,0,–
Potiguar de Mossoró,Associação Cultural e Desportiva Potiguar,Time Macho,Mossoró,RN,1948-02-15,1948-02-15,1,–,0,–,–,10,–,–,5,–
Francana,Associação Atlética Francana,Feiticeira,Franca,SP,1912-10-12,1912-10-12,1,–,0,–,–,5,–,–,0,–
América de Propriá,-,-,Propriá,SE,-,-,1,–,0,–,–,1,–,–,0,–
Rio Branco-RJ †,Clube Esportivo Rio Branco,Róseo-Negro,Campos dos Goytacazes,RJ,1912-11-05,1912-11-05,1,–,0,–,–,1,–,–,0,–
Inter de Lages,-,-,Lages,SC,-,-,1,–,0,–,–,0,–,–,4,–
Hercílio Luz,Hercílio Luz Futebol Clube,Leão do Sul,Tubarão,SC,1918-12-22,1918-12-22,1,–,0,–,–,0,–,–,1,–
Água Verde †,-,-,Curitiba,PR,-,-,1,–,0,–,–,0,–,–,0,–
América-CE,-,-,Fortaleza,CE,-,-,1,–,0,–,–,0,–,–,0,–
Comercial-PR †,-,-,Cornélio Procópio,PR,-,-,1,–,0,–,–,0,–,–,0,–
Cruzeiro do Sul †,-,-,Cruzeiro,DF,-,-,1,–,0,–,–,0,–,–,0,–
Defelê †,-,-,Brasília,DF,-,-,1,–,0,–,–,0,–,–,0,–
Eletrovapo †,-,-,Niterói,RJ,-,-,1,–,0,–,–,0,–,–,0,–
Estrela do Mar †,-,-,João Pessoa,PB,-,-,1,–,0,–,–,0,–,–,0,–
Guanabara-DF †,-,-,Brasília,DF,-,-,1,–,0,–,–,0,–,–,0,–
Manufatora †,Associação Desportiva Niterói,-,Niterói,RJ,1944-04-11,1944-04-11,1,–,0,–,–,0,–,–,0,–
Olímpico-AM †,Olímpico Clube,-,Manaus,AM,1938-10-17,1938-10-17,1,–,0,–,–,0,–,–,0,–
Olímpico-SC †,Grêmio Esportivo Olímpico,GEO,Blumenau,SC,1919-08-14,1919-08-14,1,–,0,–,–,0,–,–,0,–
Paula Ramos †,Paula Ramos Esporte Clube,Tricolor da Ilha,Florianópolis,SC,1937-12-15,1937-12-15,1,–,0,–,–,0,–,–,0,–
Perdigão †,-,-,Videira,SC,-,-,1,–,0,–,–,0,–,–,0,–
Siderúrgica †,Esporte Clube Siderúrgica,Esquadrão de Aço,Sabará,MG,1930-05-31,1930-05-31,1,–,0,–,–,0,–,–,0,–
Mogi Mirim,Mogi Mirim Esporte Clube,Sapão,Mogi Mirim,SP,1932-02-01,1932-02-01,0,–,9,–,3,10,2,1,2,1
Oeste [OES],Oeste Futebol Clube,Onça Rubro-Negra &#39;&#39;,Barueri,SP,1921-01-25,1921-01-25,0,–,8,–,1,2,1,–,2,1
Boa Esporte [BOA],Boa Esporte Clube,Coruja,Varginha,MG,1947-04-30,1947-04-30,0,–,7,–,2,9,2,–,1,–
Marília,Marília Atlético Clube,Alviceleste &#39;&#39;,Marília,SP,1942-04-12,1942-04-12,0,–,7,–,1,6,1,1,1,–
São Raimundo-AM,-,-,Manaus,AM,-,-,0,–,7,–,1,5,1,–,0,–
Paulista [PTA],Paulista Futebol Clube,Galo do Japi,Jundiaí,SP,1909-05-17,1909-05-17,0,–,6,–,1,7,1,–,1,–
Guarany de Sobral,Guarany Sporting Club,Cacique do Vale,Sobral,CE,1938-07-02,1938-07-02,0,–,6,–,1,4,1,1,6,1
União Rondonópolis,União Esporte Clube,Colorado,Rondonópolis,MT,1973-06-06,1973-06-06,0,–,5,–,–,7,–,–,4,–
Goiatuba,Goiatuba Esporte Clube,Azulão,Goiatuba,GO,1970-05-05,1970-05-05,0,–,5,–,1,1,–,–,0,–
Ituano,-,-,Itu,SP,-,-,0,–,4,–,1,9,1,–,5,1
Luverdense,Luverdense Esporte Clube,Verdão do Centro Oeste,Lucas do Rio Verde,MT,2004-01-24,2004-01-24,0,–,4,–,1,9,1,1,0,–
Icasa,-,-,Juazeiro do Norte,CE,-,-,0,–,4,–,2,7,2,1,1,–
Guaratinguetá [GTA] †,-,-,Guaratinguetá,SP,-,-,0,–,4,–,1,5,1,1,0,–
Itaperuna [ITA],Itaperuna Esporte Clube,Águia do Noroeste,Itaperuna,RJ,1989-07-21,1989-07-21,0,–,4,–,–,2,–,–,0,–
América-PE,-,-,Recife,PE,-,-,0,–,4,–,–,1,–,–,3,–
Tupi,Tupi Football Club,Galo,Juiz de Fora,MG,1912-05-26,1912-05-26,0,–,3,–,1,16,1,2,5,2
Rio Branco-AC,Rio Branco Football Club,Alvirrubro,Rio Branco,AC,1919-06-08,1919-06-08,0,–,3,–,–,11,–,1,7,–
Marcílio Dias,Clube Náutico Marcílio Dias,Marinheiro,Itajaí,SC,1919-03-17,1919-03-17,0,–,3,–,–,8,–,1,4,–
Baraúnas,Esporte Clube Baraúnas,Baru,Mossoró,RN,-,-,0,–,3,–,–,6,–,1,2,1
Blumenau,-,-,Blumenau,SC,-,-,0,–,3,–,–,5,–,–,0,–
Duque de Caxias,Duque de Caxias Futebol Clube,Gigante Tricolor da Baixada,Duque de Caxias,RJ,2005-03-08,2005-03-08,0,–,3,–,1,4,1,1,1,–
Esportivo,Clube Esportivo Bento Gonçalves,Tivo,Bento Gonçalves,RS,1919-08-28,1919-08-28,0,–,3,–,–,3,–,–,1,–
Ubiratan †,Ubiratan Esporte Clube,Leão da fronteira,Dourados,MS,1947-02-05,1947-02-05,0,–,3,–,–,3,–,–,0,–
Cascavel EC †,Cascavel Esporte Clube,Serpente,Cascavel,PR,1979-12-19,1979-12-19,0,–,3,–,–,2,–,–,0,–
GE Novorizontino †,Grêmio Esportivo Novorizontino,Tigre do Vale,Novo Horizonte,SP,1973-03-13,1973-03-13,0,–,3,–,1,2,1,–,0,–
Pelotas,Esporte Clube Pelotas,Lobão,Pelotas,RS,1908-10-11,1908-10-11,0,–,2,–,–,5,–,–,4,–
Atlético de Alagoinhas,Alagoinhas Atlético Clube,Carcará,Alagoinhas,BA,1970-04-02,1970-04-02,0,–,2,–,–,5,–,–,3,–
Serra,Sociedade Desportiva Serra Futebol Clube,Cobra Coral,Serra,ES,1930-07-24,1930-07-24,0,–,2,–,1,5,1,–,1,–
Esportivo de Passos †,Clube Esportivo de Futebol,-,Passos,MG,1924-08-30,1924-08-30,0,–,2,–,–,3,–,–,0,–
