Nome,Nome Popular,Cidade,Estado (UF),Fundação,Série A,Série B,Série C,Série D
Esporte Clube Metropol,Metropol,Criciúma,SC,,5,0,0,0
Tuna Luso Brasileira,Tuna Luso,Belém,PA,01/01/1903,4,14,7,0
Associação Atlética Anapolina,Anapolina,Anápolis,GO,,4,13,3,4
Sociedade Esportiva e Recreativa Caxias do Sul,Caxias,Caxias do Sul,RS,,4,11,16,5
Grêmio Esportivo Brasil,Brasil de Pelotas,Pelotas,RS,07/09/1911,4,9,14,2
União São João Esporte Clube,União São João,Araras,SP,14/01/1981,4,9,3,0
Uberlândia Esporte Clube,Uberlândia,Uberlândia,MG,01/11/1922,4,6,8,3
Fluminense de Feira Futebol Clube,Fluminense de Feira,Feira de Santana,BA,01/01/1941,4,6,6,6
Clube Esportivo Operário Várzea-Grandense,Operário-MT,Várzea Grande,MT,01/05/1949,4,5,2,3
Goiânia Esporte Clube,Goiânia,Goiânia,GO,,4,4,6,1
Piauí Esporte Clube,Piauí ,Teresina,PI,15/08/1948,4,2,2,0
Esporte Clube XV de Novembro,XV de Piracicaba,Piracicaba ,SP,15/11/1913,3,12,3,1
Volta Redonda Futebol Clube,Volta Redonda,Volta Redonda,RJ,09/02/1976,3,8,14,4
Maranhão Atlético Clube,Maranhão,São Luís,MA,,3,8,4,4
Associação Desportiva Leônico,Leônico,Simões Filho,BA,03/04/1940,3,4,0,0
Villa Nova Atlético Clube,Villa Nova,Nova Lima,MG,28/06/1908,3,3,11,7
Nacional Fast Clube,Fast Clube,Manaus,AM,,3,2,0,2
Alecrim Futebol Clube,Alecrim,Natal,RN,,3,2,3,2
Sport Club São Paulo,São Paulo-RS,Rio Grande,RS,04/10/1908,3,2,0,2
Clube Esportivo Dom Bosco,Dom Bosco,Cuiabá,MT,04/01/1925,3,1,1,1
Centro Esportivo Universitário de Brasília,CEUB,Brasília,DF,,3,0,0,0
Clube Atlético Ferroviário,Ferroviário-PR,Curitiba,PR,,3,0,0,0
Fonseca Atlético Clube,Fonseca-RJ,Niterói,RJ,12/10/1917,3,0,0,0
Rabello Futebol Clube,Rabello-DF,Brasília,DF,,3,0,0,0
Central Sport Club,Central,Caruaru,PE,15/06/1919,2,18,5,11
Esporte Clube Santo André,Santo André,Santo André,SP,18/09/1967,2,9,10,2
América Futebol Clube,América de Rio Preto,São José do Rio Preto,SP,28/01/1946,2,6,7,0
Campo Grande Atlético Clube,Campo Grande,Rio de Janeiro,RJ,13/06/1940,2,5,5,0
Grêmio Barueri Futebol Ltda.,Grêmio Barueri,Barueri,SP,26/06/1989,2,4,0,1
Esporte Clube Pinheiros,Pinheiros,Curitiba,PR,,2,4,0,0
São José Esporte Clube,São José,São José dos Campos,SP,13/08/1933,2,3,2,0
Itabuna Esporte Clube,Itabuna,Itabuna,BA,,2,3,1,0
Comercial Futebol Clube,Comercial,Ribeirão Preto,SP,10/10/1911,2,2,4,0
Galícia Esporte Clube,Galícia,Salvador,BA,01/01/1933,2,1,3,1
Clube Esportivo Capelense,Capelense,Capela,AL,,2,1,2,0
Olaria Atlético Clube,Olaria,Rio de Janeiro,RJ,01/07/1915,2,0,5,0
Esporte Clube XV de Novembro,XV de Jaú,Jaú,SP,15/11/1924,2,0,1,0
Sport Clube Santa Cruz,Santa Cruz-SE,Estância,SE,,2,0,0,0
Santo Antônio Futebol Clube,Santo Antônio-ES,Vitória,ES,,2,0,0,0
CLube Atlético Juventus,Juventus,São Paulo ,SP,,1,12,7,0
Catuense Futebol S/A,Catuense,Catu,BA,,1,8,9,0
Esporte Clube Novo Hamburgo,Novo Hamburgo,Novo Hamburgo,RS,,1,8,3,3
Agremiação Sportiva Arapiraquense,ASA,Arapiraca,AL,25/09/1952,1,7,13,3
Brasiliense Futebol Clube,Brasiliense,Taguatinga,DF,,1,7,5,5
Operário Ferroviário Esporte Clube,Operário-PR,Ponta Grossa ,PR,01/05/1912,1,7,2,4
Itumbiara Esporte Clube,Itumbiara,Itumbiara,GO,09/03/1970,1,5,7,3
Taguatinga Esporte Clube,Taguatinga,Taguatinga,DF,18/02/1974,1,5,3,0
Ipatinga Futebol Clube,Ipatinga,Ipatinga,MG,,1,4,9,1
Esporte Clube Noroeste,Noroeste,Bauru,SP,01/09/1910,1,4,5,0
Esporte Clube São Berto,São Bento,Sorocaba,SP,14/09/1913,1,4,3,2
Anápolis Futebol Clube,Anápolis,Anápolis,GO,,1,3,8,2
Vitória Futebol Clube,Vitória-ES,Vitória,ES,,1,3,4,2
Associação Ferroviária de Esportes,Ferroviária,Araraquara,SP,12/04/1950,1,3,3,4
Associação Atlética Colatina,AA Colatina,Colatina,ES,,1,3,3,0
Clube de Regatas Guará,Guará,Guará,DF,09/01/1957,1,3,2,0
Sobradinho Esporte Clube,Sobradinho,Sobradinho,DF,01/01/1975,1,3,1,2
Cuiabá Esporte Clube,Cuiabá,Cuiabá,MT,12/12/2001,1,2,9,1
Esporte Clube Internacional,Inter de Santa Maria,Santa Maria,RS,,1,2,4,0
Auto Esporte Clube,Auto Esporte-PB,João Pessoa,PB,07/09/1936,1,2,3,0
J.Malucelli Futebol S/A,J.Malucelli,Curitiba,PR,,1,1,3,3
Associação Atlética Caldense,Caldense,Poços de Caldas,MG,07/09/1925,1,1,1,7
Corumbaense Futebol Clube,Corumbaense,Corumbá,MS,,1,1,1,2
Auto Esporte Clube,Auto Esporte-PI,Teresina,PI,01/05/1951,1,1,0,0
Ferroviário Esporte Clube,Ferroviário-MA,São Luís,MA,,1,1,0,0
Associação Cultural e Desportiva Potiguar,Potiguar de Mossoró,Mossoró,RN,,1,0,10,5
Associação Atlética Francana,Francana,Franca,SP,12/10/1912,1,0,5,0
América Futebol Clube,América-SE,Propriá,SE,,1,0,1,0
Clube Esportivo Rio Branco,Rio Branco-RJ,Campos dos Goytacazes,RJ,,1,0,1,0
Esporte Clube Internacional,Inter de Lages,Lages,SC,,1,0,0,4
