Fase,Data,Horário,Mandante,Visitante,Mandante Placar,Visitante Placar
SF,1962-11-30,,Internacional,Botafogo,0,2
SF,1963-01-12,,Sport,Santos,1,1
SF,1963-01-16,,Santos,Sport,4,0
F,1963-03-19,00:00,Santos,Botafogo,4,3
F,1963-03-31,,Botafogo,Santos,3,1
F,1963-04-02,16:00,Botafogo,Santos,0,5
1F,1964-07-26,,Rio Branco-ES,Goytacaz,1,1
1F,1964-07-26,,Alecrim,Campinense,2,3
1F,1964-07-26,,River-PI,Maranhão,4,1
1F,1964-07-26,,Paysandu,Nacional-AM,2,0
1F,1964-07-26,,Vila Nova,Cruzeiro do Sul-DF,3,1
1F,1964-07-26,,Confiança,CSA,2,0
1F,1964-08-02,,Nacional-AM,Paysandu,1,1
1F,1964-08-02,,Cruzeiro do Sul-DF,Vila Nova,2,2
1F,1964-08-02,,Campinense,Alecrim,4,0
1F,1964-08-02,,CSA,Confiança,1,0
1F,1964-08-02,,Maranhão,River-PI,3,2
1F,1964-08-04,,CSA,Confiança,1,3
1F,1964-08-04,,Maranhão,River-PI,2,1
2F,1964-08-09,,Metropol,Grêmio Maringá,1,1
2F,1964-08-09,,Paysandu,Maranhão,2,2
2F,1964-08-09,,Campinense,Confiança,2,1
1F,1964-08-09,,Goytacaz,Rio Branco-ES,0,3
2F,1964-08-16,,Vila Nova,Rio Branco-ES,2,1
2F,1964-08-16,,Maranhão,Paysandu,0,1
2F,1964-08-16,,Confiança,Campinense,4,1
2F,1964-08-18,,Confiança,Campinense,2,0
2F,1964-08-20,,Rio Branco-ES,Vila Nova,4,0
2F,1964-08-23,,Rio Branco-ES,Vila Nova,2,0
3F,1964-08-30,,Náutico,Paysandu,3,1
3F,1964-08-30,,Ceará,Confiança,3,0
3F,1964-09-02,,Grêmio,Metropol,1,1
3F,1964-09-06,,Rio Branco-ES,Atlético Mineiro,1,1
3F,1964-09-06,,Confiança,Ceará,2,1
3F,1964-09-06,,Paysandu,Náutico,0,6
3F,1964-09-09,,Confiança,Ceará,1,2
3F,1964-09-10,,Atlético Mineiro,Rio Branco-ES,1,0
3F,1964-09-16,,Metropol,Grêmio,2,0
2F,1964-09-16,,Grêmio Maringá,Metropol,1,1
4F,1964-09-20,,Atlético Mineiro,Metropol,1,0
4F,1964-09-20,,Náutico,Ceará,3,0
4F,1964-09-27,,Metropol,Atlético Mineiro,1,2
4F,1964-09-27,,Ceará,Náutico,1,0
4F,1964-09-29,,Ceará,Náutico,4,0
QF,1964-10-18,,Atlético Mineiro,Santos,1,4
