UF,Clube,Cidade,Série A,R,Série B,P,R,Série C,P,R,Série D,P
RO,CFA †,Porto Velho,0,–,0,–,–,1,–,–,0,–
RJ,CFZ-RJ †,Rio de Janeiro,0,–,0,–,–,1,–,–,0,–
MS,Chapadão,Chapadão do Sul,0,–,0,–,–,1,–,–,0,–
MA,Chapadinha,Chapadinha,0,–,0,–,–,1,–,–,0,–
SP,Corinthians-PP †,Presidente Prudente,0,–,0,–,–,1,–,–,0,–
MA,Coroatá †,Coroatá,0,–,0,–,–,1,–,–,0,–
MS,Coxim,Coxim,0,–,0,–,–,1,–,–,0,–
MA,Duque de Caxias-MA †,Caxias,0,–,0,–,–,1,–,–,0,–
PR,Engenheiro Beltrão †,Engenheiro Beltrão,0,–,0,–,–,1,–,–,0,–
CE,EC Limoeiro,Limoeiro do Norte,0,–,0,–,–,1,–,–,0,–
MG,Fabril †,Lavras,0,–,0,–,–,1,–,–,0,–
PB,Guarabira,Guarabira,0,–,0,–,–,1,–,–,0,–
RS,Guarany de Cruz Alta †,Cruz Alta,0,–,0,–,–,1,–,–,0,–
AM,Holanda,Rio Preto da Eva,0,–,0,–,–,1,–,–,0,–
PR,Iguaçu,União da Vitória,0,–,0,–,–,1,–,–,0,–
PE,Itacuruba †,Itacuruba,0,–,0,–,–,1,–,–,0,–
ES,Jaguaré †,Jaguaré,0,–,0,–,–,1,–,–,0,–
RO,Jaruense †,Jaru,0,–,0,–,–,1,–,–,0,–
SC,Joaçaba †,Joaçaba,0,–,0,–,–,1,–,–,0,–
MT,Juventude-MT †,Primavera do Leste,0,–,0,–,–,1,–,–,0,–
SE,Lagartense,Lagarto,0,–,0,–,–,1,–,–,0,–
SC,Lages †,Lages,0,–,0,–,–,1,–,–,0,–
DF,Legião,Brasília,0,–,0,–,–,1,–,–,0,–
CE,AD Limoeiro †,Limoeiro do Norte,0,–,0,–,–,1,–,–,0,–
ES,Linhares EC †,Linhares,0,–,0,–,–,1,–,–,0,–
MG,Mamoré,Patos de Minas,0,–,0,–,–,1,–,–,0,–
PE,Manchete †[MAN],Recife,0,–,0,–,–,1,–,–,0,–
GO,Mineiros,Mineiros,0,–,0,–,–,1,–,–,0,–
MG,Montes Claros,Montes Claros,0,–,0,–,–,1,–,–,0,–
GO,Novo Horizonte,Ipameri,0,–,0,–,–,1,–,–,0,–
SP,Olímpia,Olímpia,0,–,0,–,–,1,–,–,0,–
MT,Operário Ltda.,Várzea Grande,0,–,0,–,–,1,–,–,0,–
MT,EC Operário †,Várzea Grande,0,–,0,–,–,1,–,–,0,–
TO,Paraíso [PAR] †,Paraíso do Tocantins,0,–,0,–,–,1,–,–,0,–
DF,Paranoá,Paranoá,0,–,0,–,–,1,–,–,0,–
RS,Passo Fundo,Passo Fundo,0,–,0,–,–,1,–,–,0,–
RN,Pauferrense †,Pau dos Ferros,0,–,0,–,–,1,–,–,0,–
PE,Paulistano †,Paulista,0,–,0,–,–,1,–,–,0,–
RS,Pedrabranca †[PED],Alvorada,0,–,0,–,–,1,–,–,0,–
SE,Pirambu †,Pirambu,0,–,0,–,–,1,–,–,0,–
BA,Poções †,Poções,0,–,0,–,–,1,–,–,0,–
CE,Quixadá †,Quixadá,0,–,0,–,–,1,–,–,0,–
GO,Real Clube †,Itumbiara,0,–,0,–,–,1,–,–,0,–
SP,Rio Claro,Rio Claro,0,–,0,–,–,1,–,–,0,–
RR,Rio Negro-RR,Boa Vista,0,–,0,–,–,1,–,–,0,–
ES,Rio Pardo †,Iúna,0,–,0,–,–,1,–,–,0,–
GO,Rio Verde,Rio Verde,0,–,0,–,–,1,–,–,0,–
GO,Rioverdense,Rio Verde,0,–,0,–,–,1,–,–,0,–
PR,Roma de Apucarana †,Apucarana,0,–,0,–,–,1,–,–,0,–
PB,Santa Cruz-PB †,Santa Rita,0,–,0,–,–,1,–,–,0,–
PA,Santa Rosa,Belém,0,–,0,–,–,1,–,–,0,–
RS,São Borja [SBO],São Borja,0,–,0,–,–,1,–,–,0,–
SP,Sãocarlense,São Carlos,0,–,0,–,–,1,–,–,0,–
RJ,São Cristóvão,Rio de Janeiro,0,–,0,–,–,1,–,–,0,–
RS,São Gabriel FC †,São Gabriel,0,–,0,–,–,1,–,–,0,–
AP,São José-AP †,Macapá,0,–,0,–,–,1,–,–,0,–
PE,Serrano-PE,Serra Talhada,0,–,0,–,–,1,–,–,0,–
AL,Sete de Setembro-AL,Maceió,0,–,0,–,–,1,–,–,0,–
MG,Social,Coronel Fabriciano,0,–,0,–,–,1,–,–,0,–
PA,Tiradentes-PA,Belém,0,–,0,–,–,1,–,–,0,–
MA,Tocantins-MA †,Imperatriz,0,–,0,–,–,1,–,–,0,–
RO,Ulbra-RO †,Ji-Paraná,0,–,0,–,–,1,–,–,0,–
PE,Unibol †,Paulista,0,–,0,–,–,1,–,–,0,–
PA,Vênus,Abaetetuba,0,–,0,–,–,1,–,–,0,–
PE,Vera Cruz,Vitória de Santo Antão,0,–,0,–,–,1,–,–,0,–
GO,Aparecidense,Aparecida de Goiânia,0,–,0,–,–,0,–,–,9,–
CE,Guarani de Juazeiro,Juazeiro do Norte,0,–,0,–,–,0,–,–,5,–
GO,Goianésia,Goianésia,0,–,0,–,–,0,–,–,6,–
MT,Sinop,Sinop,0,–,0,–,–,0,–,–,5,–
BA,Bahia de Feira,Feira de Santana,0,–,0,–,–,0,–,–,4,–
PR,Maringá,Maringá,0,–,0,–,–,0,–,–,4,–
AL,Murici,Murici,0,–,0,–,–,0,–,–,4,–
RR,Náutico-RR,Caracaraí,0,–,0,–,–,0,–,–,4,–
RO,Real Ariquemes,Ariquemes,0,–,0,–,–,0,–,–,4,–
ES,Espírito Santo,Vitória,0,–,0,–,–,0,–,–,3,–
PR,Foz do Iguaçu,Foz do Iguaçu,0,–,0,–,–,0,–,–,3,–
PA,Independente-PA,Tucuruí,0,–,0,–,–,0,–,–,3,–
TO,Interporto,Porto Nacional,0,–,0,–,–,0,–,–,3,–
AC,Plácido de Castro,Plácido de Castro,0,–,0,–,–,0,–,–,3,–
CE,Atlético Cearense,Fortaleza,0,–,0,–,–,0,–,–,3,–
SC,Tubarão,Tubarão,0,–,0,–,–,0,–,–,3,–
AC,Galvez,Rio Branco,0,–,0,–,–,0,–,–,3,–
AM,Penarol,Itacoatiara,0,–,0,–,–,0,–,–,3,–
RO,Vilhena,Vilhena,0,–,0,–,–,0,–,–,3,–
MS,Aquidauanense,Aquidauana,0,–,0,–,–,0,–,–,2,–
ES,Aracruz †,Aracruz,0,–,0,–,–,0,–,–,2,–
SP,Audax,Osasco,0,–,0,–,–,0,–,–,2,–
RO,Barcelona-RO,Vilhena,0,–,0,–,–,0,–,–,2,–
PA,Bragantino-PA,Bragança,0,–,0,–,–,0,–,–,2,–
RS,Cerâmica †,Gravataí,0,–,0,–,–,0,–,–,2,–
PI,Comercial-PI,Campo Maior,0,–,0,–,–,0,–,–,2,–
MA,Cordino,Barra do Corda,0,–,0,–,–,0,–,–,2,–
PR,FC Cascavel,Cascavel,0,–,0,–,–,0,–,–,2,–
GO,Iporá,Iporá,0,–,0,–,–,0,–,–,2,–
MA,Juventude-MA,São Mateus do Maranhão,0,–,0,–,–,0,–,–,2,–
RS,Lajeadense,Lajeado,0,–,0,–,–,0,–,–,2,–
RJ,Nova Iguaçu,Nova Iguaçu,0,–,0,–,–,0,–,–,2,–
PA,Paragominas,Paragominas,0,–,0,–,–,0,–,–,2,–
MG,Patrocinense,Patrocínio,0,–,0,–,–,0,–,–,2,–
SP,Penapolense,Penápolis,0,–,0,–,–,0,–,–,2,–
PR,PSTC,Cornélio Procópio,0,–,0,–,–,0,–,–,2,–
SP,Red Bull Brasil,Campinas,0,–,0,–,–,0,–,–,2,–
RJ,Resende,Resende,0,–,0,–,–,0,–,–,2,–
SE,River Plate-SE,Carmópolis,0,–,0,–,–,0,–,–,2,–
PE,Serra Talhada,Serra Talhada,0,–,0,–,–,0,–,–,2,–
MS,Sete de Dourados,Dourados,0,–,0,–,–,0,–,–,2,–
PE,Afogados,Afogados da Ingazeira,0,–,0,–,–,0,–,–,1,–
RS,Aimoré,São Leopoldo,0,–,0,–,–,0,–,–,1,–
MT,AA Araguaia,Barra do Garças,0,–,0,–,–,0,–,–,1,–
MT,Araguaia AC †,Alto Araguaia,0,–,0,–,–,0,–,–,1,–
PR,Arapongas,Arapongas,0,–,0,–,–,0,–,–,1,–
MG,Araxá,Araxá,0,–,0,–,–,0,–,–,1,–
RN,ASSU,Assu,0,–,0,–,–,0,–,–,1,–
RS,Avenida,Santa Cruz do Sul,0,–,0,–,–,0,–,–,1,–
ES,Atlético Itapemirim,Itapemirim,0,–,0,–,–,0,–,–,1,–
PE,Atlético Pernambucano,Carpina,0,–,0,–,–,0,–,–,1,–
RJ,Audax Rio,São João de Meriti,0,–,0,–,–,0,–,–,1,–
PE,Belo Jardim,Belo Jardim,0,–,0,–,–,0,–,–,1,–
PA,Cametá,Cametá,0,–,0,–,–,0,–,–,1,–
CE,Caucaia,Caucaia,0,–,0,–,–,0,–,–,1,–
SC,Concórdia,Concórdia,0,–,0,–,–,0,–,–,1,–
RS,Cruzeiro-RS,Cachoeirinha,0,–,0,–,–,0,–,–,1,–
SE,Estanciano,Estância,0,–,0,–,–,0,–,–,1,–
BA,Feirense †,Feira de Santana,0,–,0,–,–,0,–,–,1,–
DF,Formosa,Formosa,0,–,0,–,–,0,–,–,1,–
SE,Freipaulistano,Frei Paulo,0,–,0,–,–,0,–,–,1,–
SC,Guarani de Palhoça,Palhoça,0,–,0,–,–,0,–,–,1,–
RJ,Itaboraí,Itaboraí,0,–,0,–,–,0,–,–,1,–
MS,Itaporã †,Itaporã,0,–,0,–,–,0,–,–,1,–
GO,Jaraguá,Jaraguá,0,–,0,–,–,0,–,–,1,–
AL,Jacyobá,Pão de Açúcar,0,–,0,–,–,0,–,–,1,–
BA,Jacobina,Jacobina,0,–,0,–,–,0,–,–,1,–
MA,JV Lideral †,Imperatriz,0,–,0,–,–,0,–,–,1,–
MG,Nacional-MG [NAC] †,Esmeraldas,0,–,0,–,–,0,–,–,1,–
AC,Náuas,Cruzeiro do Sul,0,–,0,–,–,0,–,–,1,–
MS,CE Naviraiense,Naviraí,0,–,0,–,–,0,–,–,1,–
MT,Nova Mutum,Nova Mutum,0,–,0,–,–,0,–,–,1,–
MS,Novo,Campo Grande,0,–,0,–,–,0,–,–,1,–
RO,Porto Velho,Porto Velho,0,–,0,–,–,0,–,–,1,–
PR,Prudentópolis,Prudentópolis,0,–,0,–,–,0,–,–,1,–
ES,Real Noroeste,Águia Branca,0,–,0,–,–,0,–,–,1,–
PE,Retrô,Camaragibe,0,–,0,–,–,0,–,–,1,–
ES,Rio Branco VN,Venda Nova do Imigrante,0,–,0,–,–,0,–,–,1,–
RO,Rondoniense,Porto Velho,0,–,0,–,–,0,–,–,1,–
RN,Santa Cruz de Natal,Natal,0,–,0,–,–,0,–,–,1,–
AL,Santa Rita,Boca da Mata,0,–,0,–,–,0,–,–,1,–
AP,Santana,Santana,0,–,0,–,–,0,–,–,1,–
SP,São Bernardo,São Bernardo do Campo,0,–,0,–,–,0,–,–,1,–
PB,Serrano-PB,Campina Grande,0,–,0,–,–,0,–,–,1,–
TO,Sparta,Araguaína,0,–,0,–,–,0,–,–,1,–
TO,Tocantins de Miracema,Miracema do Tocantins,0,–,0,–,–,0,–,–,1,–
TO,Tocantins de Palmas †,Palmas,0,–,0,–,–,0,–,–,1,–
MG,Tupynambás,Juiz de Fora,0,–,0,–,–,0,–,–,1,–
RO,Vilhenense,Vilhena,0,–,0,–,–,0,–,–,1,–
