UF,Clube,Cidade,Série A,R,Série B,P,R,Série C,P,R,Série D,P
RJ,Volta Redonda,Volta Redonda,3,–,8,–,1,14,1,–,4,1
MA,Maranhão,São Luís,3,–,8,–,–,4,–,–,4,–
BA,Leônico [LEO] †,Simões Filho,3,–,4,–,–,0,–,–,0,–
MG,Villa Nova,Nova Lima,3,–,3,–,–,11,1,–,7,–
AM,Fast Clube,Manaus,3,–,2,–,–,4,–,–,4,–
RN,Alecrim,Natal,3,–,2,–,–,3,–,1,2,1
RS,São Paulo-RS,Rio Grande,3,–,2,1,–,0,–,–,2,–
MT,Dom Bosco,Cuiabá,3,–,1,–,–,1,–,–,1,–
DF,CEUB †,Brasília,3,–,0,–,–,0,–,–,0,–
PR,Ferroviário-PR †,Curitiba,3,–,0,–,–,0,–,–,0,–
RJ,Fonseca †,Niterói,3,–,0,–,–,0,–,–,0,–
DF,Rabello †,Brasília,3,–,0,–,–,0,–,–,0,–
PE,Central,Caruaru,2,–,18,1,2,5,–,–,11,–
SP,Santo André,Santo André,2,1,9,1,1,10,1,1,2,–
SP,América de Rio Preto,São José do Rio Preto,2,–,6,1,1,7,–,–,0,–
RJ,Campo Grande,Rio de Janeiro,2,–,5,1,–,5,–,–,0,–
SP,Grêmio Barueri [GBA] †,Barueri,2,1,4,1,1,2,1,1,1,–
PR,Pinheiros †,Curitiba,2,–,4,–,–,0,–,–,0,–
SP,São José-SP,São José dos Campos,2,1,3,1,–,2,–,–,0,–
BA,Itabuna,Itabuna,2,–,3,–,–,1,–,–,0,–
SP,Comercial,Ribeirão Preto,2,–,2,–,–,4,–,–,0,–
BA,Galícia,Salvador,2,1,1,–,–,3,–,–,1,–
AL,Capelense †,Capela,2,–,1,–,–,2,–,–,0,–
RJ,Olaria,Rio de Janeiro,2,–,0,–,–,5,–,–,0,–
SP,XV de Jaú,Jaú,2,–,0,–,–,1,–,–,0,–
SE,Santa Cruz-SE †,Estância,2,–,0,–,–,0,–,–,0,–
ES,Santo Antônio †,Vitória,2,–,0,–,–,0,–,–,0,–
SP,Juventus-SP,São Paulo,1,1,12,–,1,7,1,–,0,–
BA,Catuense †,Catu,1,–,8,–,–,9,–,–,0,–
RS,Novo Hamburgo,Novo Hamburgo,1,–,8,–,–,3,–,–,3,–
AL,ASA,Arapiraca,1,–,7,–,1,13,1,1,3,–
DF,Brasiliense,Taguatinga,1,1,7,1,1,5,1,1,5,–
PR,Operário-PR,Ponta Grossa,1,–,7,–,–,2,1,–,4,1
GO,Itumbiara,Itumbiara,1,–,5,–,–,7,–,–,3,–
DF,Taguatinga,Taguatinga,1,–,5,–,–,3,–,–,0,–
MG,Ipatinga [IPA],Ipatinga,1,1,4,1,2,9,2,1,1,–
SP,Noroeste,Bauru,1,–,4,–,–,5,–,–,0,–
SP,São Bento,Sorocaba,1,–,4,–,1,3,1,–,2,1
GO,Anápolis,Anápolis,1,–,3,–,–,8,–,–,2,–
ES,Vitória-ES,Vitória,1,–,3,–,–,4,–,–,2,–
SP,Ferroviária,Araraquara,1,–,3,–,1,3,1,–,4,–
ES,AA Colatina †,Colatina,1,–,3,–,–,3,–,–,0,–
DF,Guará †,Guará,1,–,3,–,–,2,–,–,0,–
DF,Sobradinho,Sobradinho,1,–,3,–,–,1,–,–,2,–
MT,Cuiabá,Cuiabá,1,–,2,1,–,9,1,–,1,1
RS,Inter de Santa Maria,Santa Maria,1,–,2,–,–,4,–,–,0,–
PB,Auto Esporte-PB,João Pessoa,1,–,2,–,–,3,–,–,0,–
PR,J.Malucelli [JMA] †,Curitiba,1,–,1,–,–,3,–,–,3,–
MG,Caldense,Poços de Caldas,1,–,1,–,–,1,–,–,7,–
MS,Corumbaense,Corumbá,1,–,1,–,–,1,–,–,2,–
PI,Auto Esporte-PI †,Teresina,1,–,1,–,–,0,–,–,0,–
MA,Ferroviário-MA †,São Luís,1,–,1,–,–,0,–,–,0,–
RN,Potiguar de Mossoró,Mossoró,1,–,0,–,–,10,–,–,5,–
SP,Francana,Franca,1,–,0,–,–,5,–,–,0,–
SE,América de Propriá,Propriá,1,–,0,–,–,1,–,–,0,–
RJ,Rio Branco-RJ †,Campos dos Goytacazes,1,–,0,–,–,1,–,–,0,–
SC,Inter de Lages,Lages,1,–,0,–,–,0,–,–,4,–
SC,Hercílio Luz,Tubarão,1,–,0,–,–,0,–,–,1,–
PR,Água Verde †,Curitiba,1,–,0,–,–,0,–,–,0,–
CE,América-CE,Fortaleza,1,–,0,–,–,0,–,–,0,–
PR,Comercial-PR †,Cornélio Procópio,1,–,0,–,–,0,–,–,0,–
DF,Cruzeiro do Sul †,Cruzeiro,1,–,0,–,–,0,–,–,0,–
DF,Defelê †,Brasília,1,–,0,–,–,0,–,–,0,–
RJ,Eletrovapo †,Niterói,1,–,0,–,–,0,–,–,0,–
