Fase,Data,Horário,Mandante,Visitante,Mandante Placar,Visitante Placar
Grp.B,1967-05-07,00:00,Ferroviário-PR,Botafogo,0,0
Grp.B,1967-05-07,00:00,Atlético Mineiro,Vasco,1,0
Grp.A,1967-05-07,00:00,Bangu,Fluminense,2,0
Grp.B,1967-05-10,00:00,Portuguesa,Botafogo,3,0
Grp.B,1967-05-10,00:00,Grêmio,Ferroviário-PR,2,0
Grp.B,1967-05-13,00:00,Flamengo,Fluminense,1,1
Grp.B,1967-05-13,00:00,Corinthians,Santos,1,1
Grp.B,1967-05-14,00:00,Grêmio,Portuguesa,1,1
Grp.B,1967-05-14,00:00,São Paulo,Vasco,0,0
Grp.B,1967-05-14,00:00,Ferroviário-PR,Atlético Mineiro,1,2
Grp.A,1967-05-14,00:00,Cruzeiro,Botafogo,2,1
Grp.B,1967-05-14,00:00,Bangu,Palmeiras,0,2
F,1967-05-20,00:00,Corinthians,Grêmio,2,1
F,1967-05-21,16:45,Internacional,Palmeiras,1,2
F,1967-05-24,00:00,Corinthians,Palmeiras,2,2
F,1967-05-24,00:00,Grêmio,Internacional,1,1
F,1967-05-28,00:00,Grêmio,Palmeiras,1,1
F,1967-05-28,00:00,Corinthians,Internacional,0,1
F,1967-05-31,00:00,Grêmio,Corinthians,0,1
F,1967-06-01,00:00,Palmeiras,Internacional,0,0
F,1967-06-04,00:00,Palmeiras,Corinthians,1,0
F,1967-06-04,16:00,Internacional,Grêmio,0,0
F,1967-06-07,21:00,Internacional,Corinthians,3,0
F,1967-06-08,00:00,Palmeiras,Grêmio,2,1
